           36         id36         born      0.50000      0.50000            0    1.0080408371678120E-03    4.8606694833612581E-07    4.8218973915955407E-02        56,479,000     1,757,706,225        23h 8.757m
           37         id37         born      0.50000      0.50000            0    6.7191842284617038E-04    3.7258844969268858E-07    5.5451441279797939E-02        55,479,000     1,672,626,194        23h 2.810m
           38         id38         born      0.50000      0.50000            0    6.8856942827840643E-04    3.9530688313023415E-07    5.7409880092788745E-02        58,479,000     1,740,910,806        23h 2.042m
           39         id39         born      0.50000      0.50000            0    5.2520898490929268E-03    2.6838199917007231E-06    5.1100039580705914E-02        52,479,000     1,707,994,525        23h 7.893m
           40         id40         born      0.50000      0.50000            0    3.8545453269319399E-03    2.1045134466773885E-06    5.4598228018568798E-02        59,479,000     1,713,470,839       23h 20.444m
           41         id41         born      0.50000      0.50000            0    4.2244635087199941E-04    2.2344672789121447E-07    5.2893515929296891E-02        57,479,000     1,730,828,933       23h 23.921m
           42         id42         born      0.50000      0.50000            0    2.3825719931692192E-03    1.4513102646451788E-06    6.0913595425701850E-02        38,479,000     1,222,450,890       22h 39.884m
           43         id43         born      0.50000      0.50000            0    4.8187454467209478E-04    2.7737395857865094E-07    5.7561446572654697E-02        57,479,000     1,720,379,781       23h 19.934m
           44         id44         born      0.50000      0.50000            0    3.8402453121803553E-03    2.1902098444780696E-06    5.7033071234570326E-02        54,479,000     1,555,579,815        23h 9.477m
           45         id45         born      0.50000      0.50000            0    5.0652234913448697E-04    2.9896354268185269E-07    5.9022774255213517E-02        55,479,000     1,654,430,922       22h 58.242m
           46         id46         born      0.50000      0.50000            0    6.6327735823868486E-03    3.2777831492455552E-06    4.9417986435563249E-02        56,479,000     1,685,574,658         23h .165m
           47         id47         born      0.50000      0.50000            0    1.0084144897000199E-03    5.0537128896527906E-07    5.0115433100888444E-02        58,479,000     1,767,140,067        23h 9.000m
           48         id48         born      0.50000      0.50000            0    4.9657371468956836E-03    3.2625992536265321E-06    6.5702214134836692E-02        41,479,000     1,184,002,245       22h 37.686m
           49         id49         born      0.50000      0.50000            0    6.0508539348862395E-04    3.0894267281651193E-07    5.1057697994542697E-02        56,479,000     1,738,646,205        23h 6.183m
           50         id50         born      0.50000      0.50000            0    3.3236803287726791E-03    1.6631329975855587E-06    5.0038897639704615E-02        53,479,000     1,719,810,389       23h 23.487m
           51         id51         born      0.50000      0.50000            0    6.7158990920486959E-04    4.6181527277889284E-07    6.8764474636859876E-02        39,479,000     1,175,093,606       22h 36.639m
           52         id52         born      0.50000      0.50000            0    6.8750396105888613E-04    4.3940261163811272E-07    6.3912738911547445E-02        42,479,000     1,294,443,033         23h .750m
           53         id53         born      0.50000      0.50000            0    3.5532897841249231E-02    2.5738224119798159E-05    7.2434914356800120E-02        49,479,000     1,616,946,901       23h 20.841m
           54         id54         born      0.50000      0.50000            0    3.2847602642620116E-01    1.7719537321279902E-04    5.3944689705569593E-02        50,479,000     1,726,437,237       23h 14.034m
           55         id55         born      0.50000      0.50000            0    3.5544970759906508E-02    2.7225310015492167E-05    7.6593986247419768E-02        43,479,000     1,459,968,601        23h 1.086m
           56         id56         born      0.50000      0.50000            0    5.7749520924476890E-02    4.0495799847871188E-05    7.0123178858627053E-02        35,479,000     1,190,499,535        23h 5.124m
           57         id57         born      0.50000      0.50000            0    3.2817751469791218E-01    2.5558737825339453E-04    7.7880831807950968E-02        33,479,000     1,319,289,352        23h 9.793m
           58         id58         born      0.50000      0.50000            0    5.7718808156996766E-02    4.1056400806623494E-05    7.1131754306064221E-02        46,479,000     1,765,069,915        23h 3.558m
           59         id59         born      0.50000      0.50000            0    3.7747559337404347E-02    3.1140362952256788E-05    8.2496361351234601E-02        41,479,000     1,753,976,940       22h 59.669m
