#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.347647097195E+00   3.326203965033E-04
 1.0000000000  1.0000000000  9.911981660643E-01   2.412140659306E-04
 2.0000000000  2.0000000000  7.496431254767E-01   1.803676852122E-04
