#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  2.744129116737E-01   6.237612078178E-05
 1.0000000000  1.0000000000  2.541646429303E-01   5.735886640947E-05
 2.0000000000  2.0000000000  2.366037126062E-01   5.312764152398E-05
