           37         id37         born      0.50000      0.50000            0    3.0382564496158563E-04    5.2095411587596702E-07    1.7146482678966554E-01         7,156,000        94,043,406        1h 58.960m
           38         id38         born      0.50000      0.50000            0    3.0452526244697240E-04    6.9581347943173180E-07    2.2849121739215156E-01         4,886,000        68,189,603        1h 28.014m
           39         id39         born      0.50000      0.50000            0    2.5837249097719977E-03    1.2367511614818206E-05    4.7866982928571855E-01         1,554,000        25,245,705       35m 48.387s
           40         id40         born      0.50000      0.50000            0    2.6220599030549051E-03    1.3011183587553638E-05    4.9621992130670201E-01         1,554,000        25,563,344       35m 49.648s
           41         id41         born      0.50000      0.50000            0    1.7082730736706412E-04    1.1959826092852070E-06    7.0011207676261433E-01           875,000        19,303,224       27m 48.364s
           42         id42         born      0.50000      0.50000            0    8.8093085689972624E-04    6.7757306770491326E-06    7.6915578833224973E-01           795,000        17,565,630       22m 58.688s
           43         id43         born      0.50000      0.50000            0    1.9822631227538916E-04    1.1946054062261947E-07    6.0264724320077623E-02        47,479,000       576,511,754       18h 15.146m
           44         id44         born      0.50000      0.50000            0    2.1292695260671365E-03    1.7501978810220121E-06    8.2197103729498816E-02        36,479,000       659,906,379       17h 56.163m
           45         id45         born      0.50000      0.50000            0    2.2515640306718337E-04    1.8166831990947595E-07    8.0685389104954208E-02        36,479,000       676,095,453       18h 16.795m
           46         id46         born      0.50000      0.50000            0    3.4463081824870115E-03    2.5919836210701743E-06    7.5210442125918112E-02        39,479,000       691,301,689       18h 15.091m
           47         id47         born      0.50000      0.50000            0    3.4971108394442194E-04    2.7003020164770823E-07    7.7215225380337954E-02        36,479,000       666,603,062        18h 3.144m
           48         id48         born      0.50000      0.50000            0    2.9347654684170632E-03    1.7441451502189197E-06    5.9430478141739435E-02        45,479,000       590,617,520       18h 14.789m
           49         id49         born      0.50000      0.50000            0    2.6552363607183115E-04    1.7762564231785142E-07    6.6896358058986125E-02        37,479,000       641,444,030        18h 5.566m
           50         id50         born      0.50000      0.50000            0    1.1188484249812544E-03    8.2503425276501230E-07    7.3739591024479939E-02        36,479,000       630,430,995       17h 48.605m
           51         id51         born      0.50000      0.50000            0    3.0473412473309123E-04    1.8607264812282385E-07    6.1060653540459267E-02        41,479,000       522,107,948       16h 48.307m
           52         id52         born      0.50000      0.50000            0    3.0468048863458618E-04    1.8503230785421043E-07    6.0729949818390264E-02        41,479,000       508,284,350       16h 38.201m
