# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.351847103787028E-04  2.047399652383214E-07 69690540
   2      20.00      40.00  3.683682716348678E-04  3.387395618500282E-07 134821741
   3      40.00      60.00  5.299553960451572E-04  4.034488056647963E-07 161746334
   4      60.00      80.00  6.222553924621908E-04  4.456198064890459E-07 176107462
   5      80.00     100.00  6.497179658109267E-04  4.340811289534415E-07 182027187
   6     100.00     120.00  6.322191974886364E-04  4.177072092700464E-07 180298545
   7     120.00     140.00  5.863080349365101E-04  3.884074719401011E-07 173501201
   8     140.00     160.00  5.281092180580394E-04  3.651999100372321E-07 163677414
   9     160.00     180.00  4.676063081762039E-04  3.294243090779065E-07 152440609
  10     180.00     200.00  4.084717455867947E-04  3.049671294764058E-07 140964750
  11     200.00     220.00  3.533937342284224E-04  2.696046624941126E-07 129835330
  12     220.00     240.00  3.047899788662810E-04  2.434712108986943E-07 119392947
  13     240.00     260.00  2.612306130368382E-04  2.212387563502868E-07 109749302
  14     260.00     280.00  2.235055343063318E-04  1.969621064253752E-07 100919335
  15     280.00     300.00  1.906458077527592E-04  1.786314421910144E-07 92820286
  16     300.00     320.00  1.622983215531399E-04  1.589871657532581E-07 85416919
  17     320.00     340.00  1.380766444402339E-04  1.447020942675328E-07 78619550
  18     340.00     360.00  1.177814977177177E-04  1.297433383924557E-07 72403734
  19     360.00     380.00  1.002840264304134E-04  1.155940335821352E-07 66801827
  20     380.00     400.00  8.528872384795343E-05  1.032691217241422E-07 61769810
  21     400.00     420.00  7.302768602226614E-05  9.399022570448512E-08 57195992
  22     420.00     440.00  6.254646947930092E-05  8.452552562807196E-08 53052978
  23     440.00     460.00  5.333794643053590E-05  7.621412577746220E-08 49307018
  24     460.00     480.00  4.596762507738744E-05  6.983137131704999E-08 45902018
  25     480.00     500.00  3.945814437189175E-05  6.320238697542642E-08 42779796
  26     500.00     520.00  3.401842685939675E-05  5.715029433156775E-08 39957122
  27     520.00     540.00  2.933874786786713E-05  5.132388310949669E-08 37366959
  28     540.00     560.00  2.536648807977979E-05  4.637848924326078E-08 34986376
  29     560.00     580.00  2.199890539140927E-05  4.222025880475328E-08 32796292
  30     580.00     600.00  1.906160630252591E-05  3.840085680934709E-08 30776345
  31     600.00     620.00  1.657408863854740E-05  3.507693196593878E-08 28936948
  32     620.00     640.00  1.437990558455869E-05  3.162466086366628E-08 27223781
  33     640.00     660.00  1.257340945700004E-05  2.904868606571936E-08 25644994
  34     660.00     680.00  1.093173961813549E-05  2.612773886206547E-08 24176657
  35     680.00     700.00  9.610967063865335E-06  2.411926408448074E-08 22813490
  36     700.00     720.00  8.418375985896500E-06  2.260580547324955E-08 21542629
  37     720.00     740.00  7.365966595477552E-06  1.987263459973128E-08 20376479
  38     740.00     760.00  6.509061053684526E-06  1.851403110993049E-08 19270001
  39     760.00     780.00  5.717239137674997E-06  1.698996795255728E-08 18249657
  40     780.00     800.00  5.036333795638651E-06  1.547242230673235E-08 17289805
  41     800.00     820.00  4.441892885172619E-06  1.439394633671037E-08 16390499
  42     820.00     840.00  3.915284632681291E-06  1.278428764346355E-08 15555689
  43     840.00     860.00  3.471756780058156E-06  1.200208095922620E-08 14771171
  44     860.00     880.00  3.072050474309562E-06  1.106302901173713E-08 14035150
  45     880.00     900.00  2.733549731712534E-06  1.038419405536777E-08 13341152
  46     900.00     920.00  2.413145599646474E-06  9.139945778416334E-09 12687628
  47     920.00     940.00  2.152269017736466E-06  8.547689553152957E-09 12075097
  48     940.00     960.00  1.916868870215203E-06  7.769687996322515E-09 11501744
  49     960.00     980.00  1.702262799845268E-06  7.240811559057092E-09 10951986
  50     980.00    1000.00  1.516050897423853E-06  6.664471090652223E-09 10436972
  51    1000.00    1020.00  1.351829643139252E-06  6.138997610178211E-09 9962115
  52    1020.00    1040.00  1.208947490910999E-06  5.649501635696627E-09 9502207
  53    1040.00    1060.00  1.075350786593076E-06  5.220294633289342E-09 9066063
  54    1060.00    1080.00  9.634255633286317E-07  4.637003321415105E-09 8666765
  55    1080.00    1100.00  8.663915588460057E-07  4.479322951689055E-09 8271805
  56    1100.00    1120.00  7.737894360191939E-07  4.158869541071077E-09 7907815
  57    1120.00    1140.00  6.957596817884601E-07  3.742260328109950E-09 7561950
  58    1140.00    1160.00  6.213006513563834E-07  3.497800921459298E-09 7228193
  59    1160.00    1180.00  5.586907524912107E-07  3.182755436742804E-09 6915698
  60    1180.00    1200.00  5.012975015258257E-07  2.854864990530956E-09 6620704
  61    1200.00    1220.00  4.526057913466404E-07  2.847078845839909E-09 6343625
  62    1220.00    1240.00  4.129669041474272E-07  2.697930081688320E-09 6075183
  63    1240.00    1260.00  3.681985893024902E-07  2.346506639399724E-09 5818804
  64    1260.00    1280.00  3.302079121135128E-07  2.175880009398420E-09 5579396
  65    1280.00    1300.00  2.945706610006803E-07  1.929956014206800E-09 5346388
  66    1300.00    1320.00  2.684185493821226E-07  1.872732147612178E-09 5126322
  67    1320.00    1340.00  2.411837652645622E-07  1.677918831772859E-09 4920360
  68    1340.00    1360.00  2.186051099959729E-07  1.570280104812909E-09 4721290
  69    1360.00    1380.00  1.999469672583900E-07  1.531978675676756E-09 4533442
  70    1380.00    1400.00  1.801775623797802E-07  1.381931409573167E-09 4352030
  71    1400.00    1420.00  1.597134818873780E-07  1.217722385584739E-09 4178356
  72    1420.00    1440.00  1.517116912153722E-07  1.310886404222032E-09 4014908
  73    1440.00    1460.00  1.325898939286737E-07  1.139275870590463E-09 3855439
  74    1460.00    1480.00  1.206278593890273E-07  1.028907013737345E-09 3709806
  75    1480.00    1500.00  1.093569643096741E-07  9.478349383525717E-10 3566590
  76    1500.00    1520.00  9.954985348691289E-08  8.577843320099774E-10 3429411
  77    1520.00    1540.00  8.979824138560198E-08  8.050505643610728E-10 3297367
  78    1540.00    1560.00  8.200758704247201E-08  7.694587554066519E-10 3172735
  79    1560.00    1580.00  7.482926398489156E-08  7.395025314282124E-10 3053945
  80    1580.00    1600.00  6.600022157311728E-08  6.142650938142816E-10 2937592
  81    1600.00    1620.00  6.066267201458804E-08  5.833830886964535E-10 2822382
  82    1620.00    1640.00  5.467629649368520E-08  5.395306963587351E-10 2720737
  83    1640.00    1660.00  5.120832252279784E-08  5.257557562641429E-10 2624239
  84    1660.00    1680.00  4.546348875735129E-08  4.686189160542081E-10 2524807
  85    1680.00    1700.00  4.189228789531996E-08  4.498463472252514E-10 2433952
  86    1700.00    1720.00  3.729023399781063E-08  4.131747968935897E-10 2342839
  87    1720.00    1740.00  3.458556248408989E-08  4.007279960628882E-10 2260066
  88    1740.00    1760.00  3.131894645420689E-08  3.511665463727417E-10 2177788
  89    1760.00    1780.00  2.881724805918200E-08  3.547488116673496E-10 2099123
  90    1780.00    1800.00  2.536240859765079E-08  2.888819359370552E-10 2023970
  91    1800.00    1820.00  2.421168630013077E-08  3.592320292534462E-10 1951930
  92    1820.00    1840.00  2.173885013483579E-08  2.782624519583372E-10 1881053
  93    1840.00    1860.00  2.000261478652678E-08  2.625423456268926E-10 1812921
  94    1860.00    1880.00  1.860281757523745E-08  2.557085866005593E-10 1749209
  95    1880.00    1900.00  1.632522419029477E-08  2.139778483011958E-10 1686808
  96    1900.00    1920.00  1.524648908146409E-08  2.164904232303597E-10 1627188
  97    1920.00    1940.00  1.387461284401287E-08  1.927561177819334E-10 1574443
  98    1940.00    1960.00  1.257456466976146E-08  1.766594924084319E-10 1517783
  99    1960.00    1980.00  1.154125180917700E-08  1.690975933967892E-10 1467785
 100    1980.00    2000.00  1.042665111787382E-08  1.527965867917512E-10 1413719
 101    2000.00    2020.00  9.536480558283445E-09  1.491909099990438E-10 1364172
 102    2020.00    2040.00  8.710236500568342E-09  1.202526210871996E-10 1320213
 103    2040.00    2060.00  8.075909545795463E-09  1.240590501980640E-10 1272373
 104    2060.00    2080.00  7.458939417787002E-09  1.136087123938233E-10 1228732
 105    2080.00    2100.00  6.613238263908716E-09  1.000621390202395E-10 1186699
 106    2100.00    2120.00  6.177132968429734E-09  1.023591364968131E-10 1149016
 107    2120.00    2140.00  5.662194284529213E-09  9.848657717275576E-11 1106667
 108    2140.00    2160.00  5.082228796067007E-09  7.862822541175493E-11 1067743
 109    2160.00    2180.00  4.626163896839080E-09  8.108958588450180E-11 1033489
 110    2180.00    2200.00  4.228447488281455E-09  7.206974918692070E-11 1001516
 111    2200.00    2220.00  3.927695243334573E-09  6.998300790308062E-11 963843
 112    2220.00    2240.00  3.538489734229689E-09  6.500597287335724E-11 933368
 113    2240.00    2260.00  3.254247664748707E-09  5.698828706239703E-11 903243
 114    2260.00    2280.00  2.992701817897548E-09  5.663646233249390E-11 871061
 115    2280.00    2300.00  2.848615433173519E-09  5.487182448886428E-11 843035
 116    2300.00    2320.00  2.409388999151351E-09  4.341954436714259E-11 813875
 117    2320.00    2340.00  2.348105729140391E-09  4.481676751984614E-11 786804
 118    2340.00    2360.00  2.064002040780453E-09  3.703298931890259E-11 762831
 119    2360.00    2380.00  1.988568686691871E-09  3.897450189737201E-11 734370
 120    2380.00    2400.00  1.758942845114917E-09  3.638025517128181E-11 710935
 121    2400.00    2420.00  1.592917151641162E-09  3.022917579451481E-11 686474
 122    2420.00    2440.00  1.495595545422335E-09  3.345686599201694E-11 664617
 123    2440.00    2460.00  1.350677053955496E-09  2.910482006142852E-11 641917
 124    2460.00    2480.00  1.274734700007071E-09  3.103824784605950E-11 620514
 125    2480.00    2500.00  1.155334533383308E-09  2.408356554987207E-11 602033
 126    2500.00    2520.00  1.074955867614877E-09  2.451702972238237E-11 582010
 127    2520.00    2540.00  9.627266869700058E-10  2.117776143453901E-11 562102
 128    2540.00    2560.00  8.903437332896358E-10  2.422516153014564E-11 543988
 129    2560.00    2580.00  7.764414705535741E-10  1.937631286477780E-11 525357
 130    2580.00    2600.00  7.522870811811871E-10  2.011021776615555E-11 507540
 131    2600.00    2620.00  6.716185105362612E-10  1.543072493461568E-11 492148
 132    2620.00    2640.00  6.149499992912814E-10  1.661314856173567E-11 475804
 133    2640.00    2660.00  5.543845952909898E-10  1.327209294384725E-11 460288
 134    2660.00    2680.00  5.304937216099068E-10  1.383861156943854E-11 445570
 135    2680.00    2700.00  4.716664960902675E-10  1.203712279475603E-11 432153
 136    2700.00    2720.00  4.449395127712949E-10  1.145107780221607E-11 416132
 137    2720.00    2740.00  4.340312773436286E-10  1.272411821150869E-11 403240
 138    2740.00    2760.00  3.625944528946339E-10  9.247109660972204E-12 390090
 139    2760.00    2780.00  3.566481779549674E-10  1.113131264235579E-11 377037
 140    2780.00    2800.00  3.158043242909054E-10  9.333422222562698E-12 364012
 141    2800.00    2820.00  2.865481957744891E-10  8.135200867099905E-12 351942
 142    2820.00    2840.00  2.837075264491621E-10  8.499010152144930E-12 341228
 143    2840.00    2860.00  2.483081592190167E-10  9.235250808773422E-12 329761
 144    2860.00    2880.00  2.253079246347706E-10  6.975069583576438E-12 319330
 145    2880.00    2900.00  2.093933240877131E-10  6.944509090913598E-12 309264
 146    2900.00    2920.00  1.882600212522265E-10  5.533125074063036E-12 298471
 147    2920.00    2940.00  1.701209423268316E-10  5.261881926941013E-12 289174
 148    2940.00    2960.00  1.558559188340389E-10  4.540847259930423E-12 279094
 149    2960.00    2980.00  1.540828891961188E-10  5.146799649017265E-12 270161
 150    2980.00    3000.00  1.296146851532039E-10  4.148317982499277E-12 262010
 151    3000.00    3020.00  1.205338221109467E-10  3.682281565472250E-12 253098
 152    3020.00    3040.00  1.136931913683565E-10  3.993720225537364E-12 244538
