#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.620635590644E-01   3.498859565979E-05
 1.0000000000  1.0000000000  1.500325884186E-01   3.186955500587E-05
 2.0000000000  2.0000000000  1.395732927674E-01   2.926720685326E-05
