#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  8.040866076220E-03   6.870733429741E-06
 1.0000000000  1.0000000000  6.832988222719E-03   5.820366109993E-06
 2.0000000000  2.0000000000  5.884355564288E-03   4.998849344289E-06
