#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  8.623674572432E-01   1.872889597944E-04
 1.0000000000  1.0000000000  6.305660985215E-01   1.346726139922E-04
 2.0000000000  2.0000000000  4.744924339037E-01   9.996893886395E-05
