#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.824695925745E-01   3.284059413198E-05
 1.0000000000  1.0000000000  1.671795585918E-01   2.946329934281E-05
 2.0000000000  2.0000000000  1.541764100967E-01   2.672738955625E-05
