#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  3.111904469586E-01   6.806712282462E-05
 1.0000000000  1.0000000000  2.849564336197E-01   6.118692979506E-05
 2.0000000000  2.0000000000  2.627593312600E-01   5.561349716162E-05
