           39         id39         born      1.00000      1.00000            0    2.6961016528773787E-03    2.7541118639232282E-06    1.0215163293208693E-01        18,392,000       234,528,630          averaged
           40         id40         born      1.00000      1.00000            0    2.7058445175552281E-03    2.9010439675597653E-06    1.0721399358825329E-01        18,392,000       241,050,449          averaged
           41         id41         born      1.00000      1.00000            0    1.7452025771139858E-04    2.1605390141859079E-07    1.2379875222043032E-01        15,365,000       261,709,644          averaged
           42         id42         born      1.00000      1.00000            0    9.1155281502795988E-04    1.1135774612599308E-06    1.2216269237518337E-01        16,365,000       276,656,865          averaged
           43         id43         born      1.00000      1.00000            0    2.0161421748834124E-04    2.2700738848917703E-07    1.1259493071330855E-01        18,854,000       234,674,147          averaged
           44         id44         born      1.00000      1.00000            0    2.1886887099374676E-03    2.9966461577017319E-06    1.3691513754769397E-01        15,920,000       281,799,022          averaged
           45         id45         born      1.00000      1.00000            0    2.2943950060111203E-04    3.4330235266742911E-07    1.4962652540996910E-01        13,967,000       259,225,220          averaged
           46         id46         born      1.00000      1.00000            0    3.5993027193491314E-03    4.7001189508719972E-06    1.3058415246945188E-01        14,920,000       262,549,638          averaged
           47         id47         born      1.00000      1.00000            0    3.5898576098853437E-04    4.6019853905694375E-07    1.2819409265417689E-01        15,365,000       276,956,645          averaged
           48         id48         born      1.00000      1.00000            0    3.0385252990501057E-03    3.2145109931290737E-06    1.0579181269723126E-01        18,392,000       240,495,252          averaged
           49         id49         born      1.00000      1.00000            0    2.7081003153271900E-04    3.0873224946235769E-07    1.1400325450095336E-01        15,365,000       262,072,364          averaged
           50         id50         born      1.00000      1.00000            0    1.1531157000855994E-03    1.4078060260324644E-06    1.2208714406784667E-01        15,365,000       261,811,051          averaged
           51         id51         born      1.00000      1.00000            0    3.1078175892324385E-04    3.1151932457254267E-07    1.0023732591380340E-01        19,392,000       249,357,498          averaged
           52         id52         born      1.00000      1.00000            0    3.1085569710772958E-04    3.3455124570791907E-07    1.0762268435825953E-01        18,854,000       234,308,629          averaged
