#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  4.715226578746E-03   3.775431242553E-06
 1.0000000000  1.0000000000  3.976508249612E-03   3.187015992388E-06
 2.0000000000  2.0000000000  3.401158091504E-03   2.728212682407E-06
