# title = Invariant Mass visible System
# xlabel = $M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
	# xmin=  4.000E+02	# xmin=  4.000E+02
	# xmax=  2.000E+03	# xmax=  2.000E+03
	# ymin=  1.000E-06	# ymin=  1.000E-06
	# ymax=  1.000E-03	# ymax=  1.000E-03
	# kmin= -5.000E+01	# kmin= -5.000E+01
	# kmax=  1.000E+01	# kmax=  1.000E+01
	# logscale = true	# logscale = true
	# Renormalization and factorization scale scaled by: 2.0000000000	# Renormalization and factorization scale scaled by: .5000000000
	# Renormalization scaled by: 2.0000000000	# Renormalization scaled by: .5000000000
	#	#
	#	#
	#=====================================================================================	#=====================================================================================
	# No.       Left      Right                   Value                   Error Hits	# No.       Left      Right                   Value                   Error Hits
	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0
	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0
	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0
	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0
	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0
	  13     480.00     520.00  0.000000000000000E+00  0.000000000000000E+00 0	  13     480.00     520.00  0.000000000000000E+00  0.000000000000000E+00 0
	  14     520.00     560.00  1.726783627132394E-07  6.190728538904858E-09 22046	  14     520.00     560.00  1.749485337879174E-07  6.411716754876877E-09 22030
	  15     560.00     600.00  6.855575981746372E-06  3.824227750529133E-08 1489014	  15     560.00     600.00  6.956548056240529E-06  3.958254637966538E-08 1488472
	  16     600.00     640.00  2.737104999483536E-05  8.534399740762165E-08 5392012	  16     600.00     640.00  2.789954699432144E-05  8.850346275752981E-08 5389876
	  17     640.00     680.00  5.318615446816625E-05  1.257904207460932E-07 8691353	  17     640.00     680.00  5.457117760684930E-05  1.314709500194660E-07 8687698
	  18     680.00     720.00  7.671920589372520E-05  1.580412211992625E-07 11167689	  18     680.00     720.00  7.924233255490668E-05  1.663197165098111E-07 11162805
	  19     720.00     760.00  9.677530839248952E-05  1.929190621355067E-07 12980203	  19     720.00     760.00  1.006545411250111E-04  2.045855306661690E-07 12974171
	  20     760.00     800.00  1.123771858680452E-04  1.987756479583315E-07 14263876	  20     760.00     800.00  1.176807379416254E-04  2.116884526038745E-07 14257103
	  21     800.00     840.00  1.249817485582077E-04  2.271753092440827E-07 15132778	  21     800.00     840.00  1.317485873686824E-04  2.423369613047128E-07 15125640
	  22     840.00     880.00  1.349002617162186E-04  2.574720304240725E-07 15707612	  22     840.00     880.00  1.431444022353711E-04  2.773454394258283E-07 15700182
	  23     880.00     920.00  1.415695356310803E-04  2.790412761398144E-07 16045342	  23     880.00     920.00  1.511458651585045E-04  3.015789439503701E-07 16037327
	  24     920.00     960.00  1.464075256606845E-04  2.771895857564475E-07 16203978	  24     920.00     960.00  1.572894522579756E-04  3.037317637830631E-07 16195912
	  25     960.00    1000.00  1.505233624735640E-04  3.198980805161294E-07 16242137	  25     960.00    1000.00  1.626384988039986E-04  3.488272747727082E-07 16234089
	  26    1000.00    1040.00  1.526369684905982E-04  3.099097689539375E-07 16182246	  26    1000.00    1040.00  1.658393769481220E-04  3.402898295244364E-07 16174177
	  27    1040.00    1080.00  1.545737023275459E-04  3.323444937495991E-07 16044459	  27    1040.00    1080.00  1.689031830501644E-04  3.652813668930071E-07 16036477
	  28    1080.00    1120.00  1.543274892988276E-04  3.282517120494459E-07 15856085	  28    1080.00    1120.00  1.695133486676740E-04  3.636814847577841E-07 15848140
	  29    1120.00    1160.00  1.537506185663558E-04  3.391541842605586E-07 15622029	  29    1120.00    1160.00  1.697643430728059E-04  3.765024333016113E-07 15614242
	  30    1160.00    1200.00  1.527468030616393E-04  3.325709724465867E-07 15359677	  30    1160.00    1200.00  1.695223679188870E-04  3.718880115082514E-07 15352025
	  31    1200.00    1240.00  1.516330379512089E-04  3.645595020424620E-07 15079321	  31    1200.00    1240.00  1.690940856061900E-04  4.063182450194338E-07 15071678
	  32    1240.00    1280.00  1.494894047164496E-04  3.702319071973808E-07 14776430	  32    1240.00    1280.00  1.675446614591606E-04  4.157525065223205E-07 14768901
