#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 1.0000000000  1.0000000000  2.573639932644E-01   2.461508365869E-04
 2.0000000000  2.0000000000  2.394370742660E-01   2.260711766983E-04
